poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
72598,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/29/20,10/31/20,,"",,136242,14663,lv,,lv,TRUE,11/2/20 07:14,"",https://morningconsult.com/form/2020-u-s-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,43.0,
72485,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/18/20,10/31/20,,"",,136027,5354,lv,,lv,TRUE,11/1/20 07:34,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.45,44.51,
72597,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/28/20,10/30/20,,"",,136241,12000,lv,,lv,TRUE,11/2/20 07:13,"",https://morningconsult.com/form/2020-u-s-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,43.0,
72398,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/17/20,10/30/20,,"",,135840,5333,lv,,lv,TRUE,10/31/20 08:22,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.28,44.57,
72596,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/27/20,10/29/20,,"",,136240,12000,lv,,lv,TRUE,11/2/20 07:13,"",https://morningconsult.com/form/2020-u-s-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,43.0,
72314,1559,Opinium,614,The Guardian,Opinium,559,Opinium,B/C,Online,,10/26/20,10/29/20,,"",,135672,1451,rv,,rv,,10/30/20 08:32,"",https://www.opinium.com/resource-center/us-presidential-polling-biden-leads-by-14-points-in-final-poll/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
72312,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/16/20,10/29/20,,"",,135662,5322,lv,,lv,TRUE,10/30/20 07:59,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.24,44.55,
72211,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/26/20,10/28/20,,"",,135459,16374,lv,,lv,TRUE,10/29/20 12:52,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
72227,1416,HarrisX,960,The Hill,HarrisX,133,Harris Insights & Analytics,B+,Online,,10/25/20,10/28/20,,"",,136339,2824,rv,,rv,,11/2/20 14:19,"",https://thehill.com/hilltv/what-americas-thinking/524036-poll-democrats-lead-republicans-in-the-generic-congressional,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,45.0,40.0,
72227,1416,HarrisX,960,The Hill,HarrisX,133,Harris Insights & Analytics,B+,Online,,10/25/20,10/28/20,,"",,136340,2359,lv,,lv,,11/2/20 14:19,"",https://thehill.com/hilltv/what-americas-thinking/524036-poll-democrats-lead-republicans-in-the-generic-congressional,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.0,42.0,
72190,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/15/20,10/28/20,,"",,135410,5271,lv,,lv,TRUE,10/29/20 08:37,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.37,44.43,
72083,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/25/20,10/27/20,,"",,135150,1500,rv,,rv,,10/28/20 09:12,"",https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,39.0,
72083,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/25/20,10/27/20,,"",,135151,1365,lv,,lv,,10/28/20 09:13,"",https://docs.cdn.yougov.com/nzc8dt85gn/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.0,42.0,
72210,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/25/20,10/27/20,,"",,135458,12000,lv,,lv,TRUE,10/29/20 12:52,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,43.0,
72176,458,Suffolk,135,USA Today,Suffolk University,323,Suffolk University,B+,Live Phone,,10/23/20,10/27/20,,"",,135379,1000,lv,,lv,,10/29/20 07:27,"",https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/10_29_2020_marginals_pdftxt.pdf?la=en&hash=7BE590FE9C03C3188A29E97C1108D5CB75C70362,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.4,39.3,
72079,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/14/20,10/27/20,,"",,135409,5261,lv,,lv,TRUE,10/29/20 08:37,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.39,44.35,
72209,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/24/20,10/26/20,,"",,135457,12000,lv,,lv,TRUE,10/29/20 12:52,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
72160,1361,SSRS,143,CNN,SSRS,297,SSRS,C,Live Phone,,10/23/20,10/26/20,,"",,135329,917,rv,,rv,,10/28/20 16:21,"",https://cdn.cnn.com/cnn/2020/images/10/28/rel15.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,54.0,42.0,
72160,1361,SSRS,143,CNN,SSRS,297,SSRS,C,Live Phone,,10/23/20,10/26/20,,"",,135330,886,lv,,lv,,10/28/20 16:22,"",https://cdn.cnn.com/cnn/2020/images/10/28/rel15.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,54.0,42.0,
72213,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online,,10/23/20,10/26/20,,"",,135468,1000,rv,,rv,,10/29/20 13:01,"",https://www.winningtheissues.org/wp-content/uploads/2020/10/Winning-the-Issues-October-2020-National-Survey.pdf,538,false,REP,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.0,43.0,
72313,1521,Hofstra University,"","",Hofstra University,558,Hofstra University,B/C,Online,,10/19/20,10/26/20,,"",,135668,2000,lv,,lv,,10/30/20 08:11,"",https://www.hofstra.edu/pdf/academics/colleges/hclas/gov-policy-international/kalikow-poll-1020.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,54.5,45.5,
72600,568,YouGov,508,George Washington University,YouGov,391,YouGov,B+,Online,,10/16/20,10/26/20,,"",,136243,2500,lv,,lv,,11/2/20 07:14,"",https://smpa.gwu.edu/gw-politics-poll-finds-trump-elicits-negative-emotions-voters,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,40.0,
72035,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/13/20,10/26/20,,"",,135041,5285,lv,,lv,TRUE,10/27/20 08:10,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.81,44.92,
71964,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/23/20,10/25/20,,"",,134893,15509,lv,,lv,TRUE,10/26/20 12:36,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71973,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/23/20,10/25/20,,"",,134922,1500,rv,,rv,,10/26/20 16:18,"",https://docs.cdn.yougov.com/fsf95uprtd/20201026_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,38.0,
71973,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/23/20,10/25/20,,"",,134923,1350,lv,,lv,,10/26/20 16:18,"",https://docs.cdn.yougov.com/fsf95uprtd/20201026_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,54.0,41.0,
71945,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/12/20,10/25/20,,"",,134861,5348,lv,,lv,TRUE,10/26/20 07:41,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.9,44.9,
71963,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/22/20,10/24/20,,"",,134892,12000,lv,,lv,TRUE,10/26/20 12:36,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71882,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/11/20,10/24/20,,"",,134735,5333,lv,,lv,TRUE,10/25/20 07:16,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.62,45.2,
71962,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/21/20,10/23/20,,"",,134891,12000,lv,,lv,TRUE,10/26/20 12:36,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71820,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/10/20,10/23/20,,"",,134608,5225,lv,,lv,TRUE,10/24/20 08:59,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.62,45.23,
71961,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/20/20,10/22/20,,"",,134890,12000,lv,,lv,TRUE,10/26/20 12:36,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71737,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/9/20,10/22/20,,"",,134402,5273,lv,,lv,TRUE,10/23/20 07:50,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.85,45.08,
71960,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/19/20,10/21/20,,"",,134889,12000,lv,,lv,TRUE,10/26/20 12:36,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71635,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/8/20,10/21/20,,"",,134205,5309,lv,,lv,TRUE,10/22/20 07:30,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.8,44.94,
72140,1634,Rethink Priorities,"","",Rethink Priorities,672,Rethink Priorities,F,Online,,10/20/20,10/20/20,,"",,135270,4933,lv,,lv,,10/28/20 12:24,"",https://static1.squarespace.com/static/5c64375df4e5314e7985012c/t/5f998f048ef3c11dadf5ddc1/1603899141511/Biden+at+%2B9.8+support+nationally+in+Rethink+Priorities+poll%2C+Dems+%2B5.3+for+Congress.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.7,42.4,
71542,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/18/20,10/20/20,,"",,134010,1500,rv,,rv,,10/21/20 09:08,"",https://docs.cdn.yougov.com/hxop5lpnlj/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.0,40.0,
71542,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/18/20,10/20/20,,"",,134011,1343,lv,,lv,,10/21/20 09:08,"",https://docs.cdn.yougov.com/hxop5lpnlj/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,43.0,
71634,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/18/20,10/20/20,,"",,134204,15821,lv,,lv,TRUE,10/22/20 07:30,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
71817,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,B/C,Online,,10/16/20,10/20/20,,"",,134602,1006,lv,,lv,,10/23/20 18:27,"",https://echeloninsights.com/in-the-news/october-omnibus-election-2020/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,44.0,
71532,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/7/20,10/20/20,,"",,133978,5401,lv,,lv,TRUE,10/21/20 07:36,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.89,44.6,
71633,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/17/20,10/19/20,,"",,134203,12000,lv,,lv,TRUE,10/22/20 07:29,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
71531,1406,Global Strategy Group/GBAO/Navigator Research,"","",Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,10/15/20,10/19/20,,"",,134401,1000,rv,,rv,,10/23/20 07:50,"",https://navigatorresearch.org/wp-content/uploads/2020/10/Navigator-Full-Topline-F10.20.2020.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,43.0,
72154,907,GBAO,1501,Omidyar Network,GBAO,109,GBAO,B/C,Online,,10/15/20,10/19/20,,"",,135306,1150,rv,,rv,,10/28/20 14:08,"",https://omidyar.com/wp-content/uploads/2020/10/Omidyar-Network-National-Registered-Voters-Survey-Topline-Results-101920.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,39.0,
71440,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/6/20,10/19/20,,"",,133791,5483,lv,,lv,TRUE,10/20/20 07:19,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.06,44.39,
71373,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/16/20,10/18/20,,"",,133820,1465,lv,,lv,,10/20/20 10:41,"",https://docs.cdn.yougov.com/77ukszgou2/20201019_yahoo_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,40.0,
71373,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/16/20,10/18/20,,"",,133821,1583,rv,,rv,,10/20/20 10:41,"",https://docs.cdn.yougov.com/77ukszgou2/20201019_yahoo_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.0,36.0,
71377,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/16/20,10/18/20,,"",,133658,14994,lv,,lv,TRUE,10/19/20 15:03,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
71354,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/5/20,10/18/20,,"",,133620,5549,lv,,lv,TRUE,10/19/20 07:30,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.25,44.27,
71376,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/15/20,10/17/20,,"",,133657,12000,lv,,lv,TRUE,10/19/20 15:03,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,50.0,42.0,
71293,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/4/20,10/17/20,,"",,133494,5665,lv,,lv,TRUE,10/18/20 07:08,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.33,44.2,
71375,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/14/20,10/16/20,,"",,133656,12000,lv,,lv,TRUE,10/19/20 15:02,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,42.0,
71236,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/3/20,10/16/20,,"",,133380,5637,lv,,lv,TRUE,10/17/20 07:59,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.39,44.17,
71374,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/13/20,10/15/20,,"",,133655,12000,lv,,lv,TRUE,10/19/20 15:02,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71165,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/2/20,10/15/20,,"",,133231,5534,lv,,lv,TRUE,10/16/20 07:15,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.99,44.4,
71094,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/12/20,10/14/20,,"",,133081,15499,lv,,lv,TRUE,10/15/20 12:47,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
71066,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/1/20,10/14/20,,"",,133015,5425,lv,,lv,TRUE,10/15/20 07:47,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.85,44.36,
70989,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/11/20,10/13/20,,"",,132841,1500,rv,,rv,,10/14/20 09:56,"",https://docs.cdn.yougov.com/1ace2lgidt/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,43.0,37.0,
70989,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/11/20,10/13/20,,"",,132842,1333,lv,,lv,,10/14/20 09:57,"",https://docs.cdn.yougov.com/1ace2lgidt/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,41.0,
71093,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/11/20,10/13/20,,"",,133080,12000,lv,,lv,TRUE,10/15/20 12:47,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,43.0,
70980,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,9/30/20,10/13/20,,"",,132814,5249,lv,,lv,TRUE,10/14/20 07:45,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.07,44.26,
71092,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/10/20,10/12/20,,"",,133079,12000,lv,,lv,TRUE,10/15/20 12:47,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
71065,1292,Hart Research Associates/Public Opinion Strategies,"132,276",NBC News | Wall Street Journal,Hart Research Associates/Public Opinion Strategies,221,NBC News/The Wall Street Journal,B+,Live Phone,,10/9/20,10/12/20,,"",,133012,1000,rv,,rv,,10/15/20 00:27,"",https://s.wsj.net/public/resources/documents/WSJNBCPoll-Mid-October-2020.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,47.0,39.0,
70778,1559,Opinium,614,The Guardian,Opinium,559,Opinium,B/C,Online,,10/8/20,10/12/20,,"",,132426,1747,lv,,lv,,10/13/20 14:38,"",https://www.opinium.com/resource-center/biden-extends-lead-over-trump-to-17-points/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.0,40.0,
70751,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,9/29/20,10/12/20,,"",,132356,5081,lv,,lv,TRUE,10/13/20 07:42,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.34,43.96,
70742,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/9/20,10/11/20,,"",,132409,1525,rv,,rv,,10/13/20 10:43,"",https://docs.cdn.yougov.com/7h9ohi94io/20201011_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,45.0,38.0,
70742,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/9/20,10/11/20,,"",,132410,1366,lv,,lv,,10/13/20 10:43,"",https://docs.cdn.yougov.com/7h9ohi94io/20201011_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,41.0,
70750,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/9/20,10/11/20,,"",,132355,16045,lv,,lv,TRUE,10/13/20 07:42,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
70729,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,9/28/20,10/11/20,,"",,132316,5065,lv,,lv,TRUE,10/12/20 07:24,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.26,43.94,
70749,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/8/20,10/10/20,,"",,132354,12000,lv,,lv,TRUE,10/13/20 07:42,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
70723,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,9/27/20,10/10/20,,"",,132304,5091,lv,,lv,TRUE,10/11/20 07:35,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.12,44.1,
70748,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,Online,,10/7/20,10/9/20,,"",,132353,12000,lv,,lv,TRUE,10/13/20 07:41,"",https://morningconsult.com/2020-presidential-election-tracker/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
70714,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,9/26/20,10/9/20,,"",,132271,5198,lv,,lv,TRUE,10/10/20 08:44,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,51.99,44.18,
